City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,fereydun kenar,36.6864,52.5225,22.85,83,83,100,IR,1686087703
376,saynshand,44.8824,110.1163,16.72,46,46,71,MN,1686087703
377,astrakhan,46.3497,48.0408,16.93,55,55,0,RU,1686087703
378,srikakulam,18.3,83.9,29.29,81,81,96,IN,1686087703
379,bata,1.8639,9.7658,25.51,87,87,100,GQ,1686087703
380,rieti,42.4072,12.8592,17.56,94,94,2,IT,1686087704
381,panama city beach,30.1766,-85.8055,29.07,65,65,40,US,1686087136
382,nadvoitsy,63.8667,34.3167,4.75,69,69,47,RU,1686087704
383,nyurba,63.2842,118.3319,7.82,61,61,28,RU,1686087704
384,strelka,58.0728,93.0344,15.91,93,93,5,RU,1686087704
385,babat,-7.1128,112.1635,23.29,92,92,77,ID,1686087704
386,khuzdar,27.7384,66.6434,26.83,15,15,0,PK,1686087705
387,mahina,-17.5065,-149.489,28.87,54,54,20,PF,1686087705
388,fortuna,40.5982,-124.1573,18.51,76,76,0,US,1686087705
389,charlottetown,46.2352,-63.1267,11.98,96,96,100,CA,1686087501
390,kaoma,-14.7833,24.8,14.24,39,39,0,ZM,1686087706
391,taoudenni,22.6783,-3.9836,34.85,15,15,0,ML,1686087706
392,grand-bassam,5.2118,-3.7388,27.98,86,86,100,CI,1686087706
393,tralee,52.2704,-9.7026,12.87,91,91,18,IE,1686087706
394,lamu,-2.2717,40.902,26.12,79,79,60,KE,1686087706
395,ban karon,7.8477,98.2985,29.88,99,99,100,TH,1686087706
396,tobruk,32.0836,23.9764,20.8,83,83,21,LY,1686087706
397,bhum,18.4667,75.6667,30.28,48,48,4,IN,1686087706
398,ormara,25.2088,64.6357,29.16,84,84,0,PK,1686087707
399,elesbao veloso,-6.2019,-42.1403,30.29,36,36,79,BR,1686087707
400,tchintabaraden,15.8969,5.7985,32.44,20,20,79,NE,1686087707
401,kabompo,-13.5927,24.2008,14.95,45,45,1,ZM,1686087707
402,cole harbour,44.6724,-63.4751,11.21,92,92,100,CA,1686087707
403,konarka,19.9,86.1167,28.22,73,73,98,IN,1686087707
404,pastavy,55.1168,26.8326,11.2,76,76,2,BY,1686087707
405,pocone,-16.2567,-56.6228,24.39,31,31,10,BR,1686087707
406,dongcun,36.7767,121.1597,21.02,54,54,100,CN,1686087707
407,dakoro,14.5106,6.765,34.16,31,31,100,NE,1686087707
408,inhambane,-23.865,35.3833,22.13,88,88,0,MZ,1686087708
409,guerrero negro,27.9769,-114.0611,19.49,54,54,80,MX,1686087708
410,mao,39.8885,4.2658,20.31,83,83,0,ES,1686087708
411,san antonio de pale,-1.4014,5.6325,25.14,86,86,100,GQ,1686087708
412,flin flon,54.7682,-101.865,23.91,83,83,75,CA,1686087708
413,fedorovka,53.6314,62.7078,18.56,74,74,86,KZ,1686087708
414,kapoeta,4.7717,33.5903,27.93,41,41,84,SS,1686087708
415,ampanihy,-24.7,44.75,18.22,98,98,4,MG,1686087708
416,lompoc,34.6391,-120.4579,18.77,87,87,100,US,1686087708
417,palu,-0.8917,119.8707,24.31,96,96,100,ID,1686087709
418,sarangani,5.4033,125.4636,28.52,76,76,98,PH,1686087709
419,kamaishi,39.2667,141.8833,16.47,93,93,99,JP,1686087709
420,saint-joseph,-21.3667,55.6167,21.37,82,82,30,RE,1686087709
421,ixtapa,20.7,-105.2,31.41,49,49,1,MX,1686087709
422,tambopata,-12.7333,-69.1833,27.94,74,74,0,PE,1686087709
423,road town,18.4167,-64.6167,30.02,70,70,20,VG,1686087709
424,plastun,44.7561,136.2939,14.93,75,75,100,RU,1686087709
425,ikovka,55.6089,64.9375,18.08,90,90,100,RU,1686087709
426,island harbour,50.724,-1.2758,14.62,76,76,0,GB,1686087710
427,port blair,11.6667,92.75,25.02,94,94,100,IN,1686087710
428,agat village,13.3886,144.6585,28.53,80,80,0,GU,1686087710
429,macapa,0.0389,-51.0664,28.99,79,79,20,BR,1686087710
430,acarau,-2.8856,-40.12,26.14,80,80,0,BR,1686087710
431,sinop,41.7711,34.8709,11.64,85,85,13,TR,1686087710
432,dongsheng,39.8161,109.9776,18.11,31,31,4,CN,1686087710
433,dajal,29.5577,70.3762,30.36,43,43,8,PK,1686087710
434,nowshahr,36.649,51.496,20.97,94,94,75,IR,1686087710
435,aykhal,66.0,111.5,3.25,62,62,3,RU,1686087711
436,faratsiho,-19.4,46.95,10.03,88,88,2,MG,1686087711
437,kadiri,14.1167,78.1667,28.3,60,60,86,IN,1686087711
438,kayangel,8.0823,134.7173,28.51,80,80,100,PW,1686087711
439,prince rupert,54.3161,-130.3201,14.05,68,68,0,CA,1686087654
440,lerwick,60.1545,-1.1494,10.0,81,81,100,GB,1686087711
441,dumai,1.6833,101.45,23.42,99,99,100,ID,1686087711
442,broken hill,-31.95,141.4333,16.61,86,86,98,AU,1686087711
443,ust'-uda,54.1742,103.0304,10.48,62,62,42,RU,1686087712
444,salmon arm,50.6998,-119.3024,29.62,21,21,0,CA,1686087521
445,haflong,25.1833,93.0333,24.9,73,73,67,IN,1686087712
446,egilsstadir,65.2653,-14.3948,5.95,81,81,75,IS,1686087712
